ISO3,Country,1801-1900
ARG,argentina,17224.13793
AUS,australasia,474098.9111
AUT,austriahungary,111466.4247
BOL,bolivia,55108.89292
CAN,canada&newfoundland,111435.57
CHL,chile,1917216.878
CUB,cuba,142165.1543
DEU,germany,480246.824
DZA,algeria,3307.622505
ESP,spainandportugal,1350969.147
GBR,engalnd,878935.5717
HUN,austriahungary,111466.4247
ITA,italy,80516.33394
JPN,japan,618267.6951
MEX,mexico,145116.1525
NOR,norway,105200.5445
NZL,australasia,474098.9111
PER,peru,34693.28494
PNG,australasia,474098.9111
PRT,spainandportugal,1350969.147
RUS,russia,432977.314
SWE,sweden,108295.0
TUR,turkey,2931.034483
USA,unitedstates,3045800.363
VEN,venezuela,115777.677
ZAF,southafrica,178745.9165
