Country/Territory,ISO_Code,1493-1600,1601-1700,1701-1800,1801-1900
UnitedStates,USA,0,0,0,37940.26493
Mexico,MEX,2563.368302,8694.357811,29614.6867,52851.85296
Canada,CAN,0,0,0,855.8116246
centralamerica,BLZ,0,0,0,559.4807202
centralamerica,CRI,0,0,0,559.4807202
centralamerica,SLV,0,0,0,559.4807202
centralamerica,GTM,0,0,0,559.4807202
centralamerica,HND,0,0,0,559.4807202
centralamerica,NIC,0,0,0,559.4807202
centralamerica,PAN,0,0,0,559.4807202
Argentina,ARG,0,0,0,267.6079955
Bolivia,BOL,10075.4182,12953.21803,6054.720726,11953.71463
Brazil,BRA,0,1.417635384,76.55231075,2.045165863
Chile,CHL,0,0.567054154,183.4420187,6666.564984
Colombia,COL,116.2461015,317.5503261,428.125886,1294.056649
Ecuador,ECU,0,0,0,2.192288064
Peru,PER,2675.361497,9425.574142,10213.21236,8067.404792
"Guianas,Uruguayandothers",URY,0,0,0,0.04062943
"Guianas,Uruguayandothers",GUY,0,0,0,0.04062943
Venezuela,VEN,0,0,0,0
"Austria,Hungary(1493-1918)",HUN,2488.517153,856.8188262,1759.285512,3235.890587
"Austria,Hungary(1493-1918)",AUT,2488.517153,856.8188262,1759.285512,3235.890587
Czechoslovakia,SVK,0,0,0,0
Czechoslovakia,CZE,0,0,0,0
France,FRA,0,0,0,1716.588092
Germany,DEU,1426.141196,753.0479161,1888.857386,6217.173887
Greece,GRC,0,0,0,862.44148
Italy,ITA,0,0,0,715.2779132
Norway,NOR,0,311.0292033,404.0260845,367.9695775
Poland,POL,0,0,0,0
Romania,ROU,0,0,0,0
Russia,RUS,0,0,882.4780267,1571.738361
SpainandPortugal,ESP,,,,2837.834193
SpainandPortugal,PRT,0,0,0,2837.834193
Sweden,SWE,102.9817409,55.35724412,33.27924582,106.1297703
UnitedKingdon,GBR,0,0,28.35270768,787.7946413
Yugoslavia(servia1876-1918),SRB,0,0,0,2.077913241
Yugoslavia(servia1876-1918),HRV,0,0,0,2.077913241
Yugoslavia(servia1876-1918),SVN,0,0,0,2.077913241
Yugoslavia(servia1876-1918),BIH,0,0,0,2.077913241
Yugoslavia(servia1876-1918),MNE,0,0,0,2.077913241
Yugoslavia(servia1876-1918),MKD,0,0,0,2.077913241
UnidstributedEurope,ALB,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,AND,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,BEL,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,BGR,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,CHE,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,CYP,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,DNK,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,EST,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,FIN,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,ISL,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,IRL,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,KAZ,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,XKX,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,LVA,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,LIE,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,LTU,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,LUX,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,MDA,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,MCO,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,MLT,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,SMR,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,TUR,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,UKR,1020.697477,567.0541537,368.5851999,0
UnidstributedEurope,VAT,1020.697477,567.0541537,368.5851999,0
China,CHN,0,0,0,0
Chosen,PRK,0,0,0,0
Chosen,KOR,0,0,0,0
Indo-China,IND,0,0,0,6.322653813
Indo-China,KHM,0,0,0,0
Indo-China,LAO,0,0,0,0
Indo-China,VNM,0,0,0,0
Japan,JPN,708.8176921,2126.453076,28.35270768,876.1564502
NetherlandEastIndies,IDN,0,0,0,2.286901049
Philippines,PHL,0,0,0,0
Taiwan,TWN,0,0,0,0
Turkey,TUR,0,0,0,233.9077403
Algeria,DZA,0,0,0,1.19319535
Rhodesia,ZWE,0,0,0,0.026963425
UnionofSouthAfrica,ZAF,0,0,0,64.02041395
OtherAfrica,COD,0,0,0,5.503147151
OtherAfrica,AGO,0,0,0,5.503147151
OtherAfrica,BEN,0,0,0,5.503147151
OtherAfrica,BWA,0,0,0,5.503147151
OtherAfrica,BFA,0,0,0,5.503147151
OtherAfrica,BDI,0,0,0,5.503147151
OtherAfrica,CPV,0,0,0,5.503147151
OtherAfrica,CMR,0,0,0,5.503147151
OtherAfrica,CAF,0,0,0,5.503147151
OtherAfrica,TCD,0,0,0,5.503147151
OtherAfrica,COM,0,0,0,5.503147151
OtherAfrica,COG,0,0,0,5.503147151
OtherAfrica,DJI,0,0,0,5.503147151
OtherAfrica,EGY,0,0,0,5.503147151
OtherAfrica,GNQ,0,0,0,5.503147151
OtherAfrica,ERI,0,0,0,5.503147151
OtherAfrica,ETH,0,0,0,5.503147151
OtherAfrica,GAB,0,0,0,5.503147151
OtherAfrica,GMB,0,0,0,5.503147151
OtherAfrica,GHA,0,0,0,5.503147151
OtherAfrica,GIN,0,0,0,5.503147151
OtherAfrica,GNB,0,0,0,5.503147151
OtherAfrica,CIV,0,0,0,5.503147151
OtherAfrica,KEN,0,0,0,5.503147151
OtherAfrica,LSO,0,0,0,5.503147151
OtherAfrica,LBR,0,0,0,5.503147151
OtherAfrica,LBY,0,0,0,5.503147151
OtherAfrica,MDG,0,0,0,5.503147151
OtherAfrica,MWI,0,0,0,5.503147151
OtherAfrica,MLI,0,0,0,5.503147151
OtherAfrica,MRT,0,0,0,5.503147151
OtherAfrica,MUS,0,0,0,5.503147151
OtherAfrica,MAR,0,0,0,5.503147151
OtherAfrica,MOZ,0,0,0,5.503147151
OtherAfrica,NER,0,0,0,5.503147151
OtherAfrica,NGA,0,0,0,5.503147151
OtherAfrica,RWA,0,0,0,5.503147151
OtherAfrica,STP,0,0,0,5.503147151
OtherAfrica,SEN,0,0,0,5.503147151
OtherAfrica,SYC,0,0,0,5.503147151
OtherAfrica,SLE,0,0,0,5.503147151
OtherAfrica,SOM,0,0,0,5.503147151
OtherAfrica,SDN,0,0,0,5.503147151
OtherAfrica,SWZ,0,0,0,5.503147151
OtherAfrica,TZA,0,0,0,5.503147151
OtherAfrica,TGO,0,0,0,5.503147151
OtherAfrica,TUN,0,0,0,5.503147151
OtherAfrica,UGA,0,0,0,5.503147151
OtherAfrica,ESH,0,0,0,5.503147151
OtherAfrica,ZMB,0,0,0,5.503147151
OtherAfrica,NAM,0,0,0,0
OtherAfrica,SSD,0,0,0,5.503147151
Australia,AUS,0,0,0,4423.173008
NewZealand,NZL,0,0,0,45.54570456
OtherAustralia,FJI,0,0,0,0
OtherAustralia,PNG,0,0,0,0
OtherAustralia,SLB,0,0,0,0
OtherAustralia,VUT,0,0,0,0
OtherAustralia,KIR,0,0,0,0
OtherAustralia,NRU,0,0,0,0
OtherAustralia,TUV,0,0,0,0
OtherAustralia,WSM,0,0,0,0
OtherAustralia,TON,0,0,0,0
OtherAustralia,MHL,0,0,0,0
OtherAustralia,PLW,0,0,0,0
OtherAustralia,FSM,0,0,0,0
